"filename", "language", "Python", "HTML", "CSS", "JavaScript", "Markdown", "Ini", "comment", "blank", "total"
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 11, 25
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/db.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/main.py", "Python", 369, 0, 0, 0, 0, 0, 77, 113, 559
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/alembic.ini", "Ini", 0, 0, 0, 0, 0, 38, 0, 13, 51
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/env.py", "Python", 66, 0, 0, 0, 0, 0, 17, 31, 114
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/0a21c3da577f_.py", "Python", 17, 0, 0, 0, 0, 0, 5, 11, 33
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/22a4b5ae535a_.py", "Python", 19, 0, 0, 0, 0, 0, 5, 11, 35
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/3011b84cd898_.py", "Python", 29, 0, 0, 0, 0, 0, 5, 9, 43
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/3a3b0e80b297_.py", "Python", 19, 0, 0, 0, 0, 0, 5, 11, 35
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/49810ee574e0_.py", "Python", 25, 0, 0, 0, 0, 0, 5, 9, 39
"/Users/tobiastrentzsch/Desktop/Beuth Medieninformatik/Formales/Bachelorarbeit/DORA-Metrik/DORA-Metrics/migrations/versions/7135d8fabc54_.py", "Python", 21, 0, 0, 0, 0, 0, 5, 9, 35
